date,description,amount,currency,reference,category
2024-11-01,Opening Balance,50000.00,USD,REF-0001,opening
2024-11-02,Acme Supplies Invoice #4421,-12400.00,USD,REF-0002,vendor
2024-11-03,Delta Systems Invoice #DS-991,21000.00,USD,REF-0003,revenue
2024-11-04,Rent - November,-8500.00,USD,REF-0004,rent
2024-11-05,AWS Invoice Oct,-3200.00,USD,REF-0005,cloud
2024-11-06,Focal Inc Invoice #FI-102,18000.00,USD,REF-0006,revenue
2024-11-07,Salary November,-45000.00,USD,REF-0007,payroll
2024-11-08,Glide Works Project Payment,9800.00,USD,REF-0008,revenue
2024-11-09,Electricity & Water,-1800.00,USD,REF-0009,utilities
2024-11-10,Bank Service Fee,-275.00,USD,REF-0010-DUP,banking
2024-11-11,Bright Studio Retainer,8200.00,USD,REF-0011,revenue
2024-11-12,Staff Travel,-4200.00,USD,REF-0012,travel
2024-11-13,Ember Labs API Work,5600.00,USD,REF-0013,revenue
2024-11-14,Digital Marketing,-6000.00,USD,REF-0014,marketing
2024-11-15,Bank Interest,320.00,USD,REF-0015,interest
2024-11-16,Unrecorded Internal Transfer,2500.00,USD,REF-9999,misc
